"condition_id","composition","n","R2","learner","auroc_true.auroc","auroc_naive.auroc","auroc_subject.auroc","brier_true.brier","brier_naive.brier","brier_subject.brier","u_raw","u_q4","n_classes","max_class","prevalence","n_valid","mcse_auroc_naive"
25,"5 binary",100,0.15,"logistic",0.667542696472194,0.721935091932544,0.639154511242317,0.234542606021418,0.207800447051696,0.236857663293815,0.04356,0,30.698,7.33,0.48348,500,0.00213608597181208
26,"5 continuous",200,0.15,"logistic",0.678853686548218,0.709540571521881,0.665492027723223,0.227666687794986,0.2145166248138,0.228717330821735,1,0.83342,200,1,0.4799,500,0.00153912286520589
27,"3 continuous + 2 binary",200,0.15,"logistic",0.680237126451673,0.710570446660726,0.666530343310799,0.227324734846711,0.214349964865104,0.228537229661697,1,0.05685,200,1,0.47945,500,0.00149329466119749
28,"2 continuous + 3 binary",200,0.15,"logistic",0.679879452528649,0.712427661800561,0.667717073416298,0.227620577379665,0.213776281208436,0.228121223590551,1,0.00071,200,1,0.4795,500,0.00159155074140918
29,"1 continuous + 4 binary",200,0.15,"logistic",0.681368192331313,0.713413315715929,0.668538020057633,0.22738612450254,0.213298212977901,0.227654835011822,1,0,200,1,0.47785,500,0.00159621185493932
30,"5 binary",200,0.15,"logistic",0.681581882866531,0.708340276009973,0.663739833501497,0.226734608403588,0.214225198625263,0.228610045217331,0.00205,0,31.962,11.888,0.4774,500,0.001562451924845
31,"5 continuous",50,0.3,"logistic",0.729279418897036,0.810216735420074,0.69171805482559,0.221818347647073,0.171580428057178,0.227503192041834,1,0.96588,50,1,0.4838,500,0.00261954072110594
32,"3 continuous + 2 binary",50,0.3,"logistic",0.730917915829293,0.816967661187743,0.696890978635013,0.222774039451286,0.168072274610311,0.226038774351431,1,0.56068,50,1,0.47924,500,0.00284235928572286
33,"2 continuous + 3 binary",50,0.3,"logistic",0.730536685802204,0.81252783348639,0.688291750365895,0.222558194248566,0.170199813364839,0.228727557321697,1,0.09832,50,1,0.48196,500,0.00274494998447414
34,"1 continuous + 4 binary",50,0.3,"logistic",0.732012580370828,0.813573686250138,0.691690294273209,0.22149266503421,0.170146700914895,0.227797263605144,1,0.00344,50,1,0.47892,500,0.00276566569122838
35,"5 binary",50,0.3,"logistic",0.734015956446592,0.808792581840588,0.692708971565848,0.220311148105899,0.170036534173887,0.226805321030568,0.21308,0,25.492,4.624,0.48552,500,0.00270370242381506
36,"5 continuous",100,0.3,"logistic",0.748637252598691,0.790732718537655,0.729391613411986,0.207806511206773,0.183103820858787,0.209828757959505,1,0.92244,100,1,0.47992,500,0.00202988323085424
37,"3 continuous + 2 binary",100,0.3,"logistic",0.751118780236836,0.791740719350901,0.729623737347224,0.206907803273098,0.182703342194091,0.209832335183955,1,0.25972,100,1,0.47886,500,0.00209243083914374
38,"2 continuous + 3 binary",100,0.3,"logistic",0.753177757856311,0.790297075233212,0.7274672379617,0.205962291873265,0.183530775282594,0.210794366224159,1,0.01354,100,1,0.48324,500,0.00204558008092855
39,"1 continuous + 4 binary",100,0.3,"logistic",0.752771517832852,0.795309346958229,0.733848024713061,0.206315651719603,0.181251275014362,0.208066883921689,1,0.00016,100,1,0.47752,500,0.00202289291609096
40,"5 binary",100,0.3,"logistic",0.752620157179562,0.789712507286422,0.730344128348586,0.205720768897133,0.181950339785138,0.208957386247026,0.04336,0,30.67,7.296,0.4818,500,0.00187593136552402
41,"5 continuous",200,0.3,"logistic",0.759501572275868,0.782647893159774,0.752159682040819,0.200919760800476,0.188316464791618,0.201184178189874,1,0.83419,200,1,0.4829,500,0.00142448966058267
42,"3 continuous + 2 binary",200,0.3,"logistic",0.761784701010756,0.782298843469697,0.750874120188264,0.200021714056475,0.188416323995016,0.201629367977206,1,0.05861,200,1,0.47924,500,0.00140504932018732
43,"2 continuous + 3 binary",200,0.3,"logistic",0.762229672361894,0.782864424620585,0.750811640906071,0.200084701090848,0.188057381928265,0.201522490774441,1,0.00052,200,1,0.48025,500,0.00148874193476992
44,"1 continuous + 4 binary",200,0.3,"logistic",0.762935296978956,0.785083649188753,0.753893799233107,0.199714944354413,0.187117971406811,0.200314935716529,1,0,200,1,0.48124,500,0.0013605047583035
45,"5 binary",200,0.3,"logistic",0.762017976544355,0.780762252611464,0.748745212116727,0.199127411447356,0.187580158445981,0.200507193084096,0.00188,0,31.956,12.074,0.48068,500,0.00146300305948814
46,"5 continuous",50,0.05,"xgboost",0.529745006023308,1,0.499318325174624,0.354620630760492,0.00301051779938159,0.364708708224656,1,0.9678,50,1,0.47608,500,0.000964867931595227
47,"3 continuous + 2 binary",50,0.05,"xgboost",0.526454535260232,1,0.497191154018243,0.355296563549564,0.00561134927031756,0.363050058428463,1,0.54852,50,1,0.47416,500,0.00100895821978443
48,"2 continuous + 3 binary",50,0.05,"xgboost",0.52499145226204,1,0.492197529818544,0.353196304517971,0.00941714221073185,0.362989579777571,1,0.09592,50,1,0.48048,500,0.000945699152042882
49,"1 continuous + 4 binary",50,0.05,"xgboost",0.52573419426099,0.99999025974026,0.502477425286134,0.352376930531782,0.0208255923737715,0.358485133796321,1,0.0032,50,1,0.48552,500,0.00101021065621325
