"condition_id","n","p_L","ICC","rho","u_q4","u_q10","stab_q4","stab_q10","nn_subj","nn_row","mcse_u_q4","mcse_u_q10","mcse_stab_q4","mcse_stab_q10","mcse_nn_subj","mcse_nn_row"
12,50,2,0.3,0.7,0.0358933685512823,0.713293752399884,0.27936277738752,0.0734909297656008,0.151359485454249,0.08798,0.000856739514013256,0.00288485622347313,0.00201365224156806,0.00112012202807057,0.00157595663053065,0.000780812759275525
13,50,2,0.5,0.7,0.0361957445119404,0.714342495132928,0.367583269503389,0.108230697063735,0.22318243355974,0.125623333333333,0.000995126229060598,0.00333216357764851,0.00233196794490879,0.00123958928269314,0.00173444488054703,0.000962821759107137
14,50,2,0.7,0.7,0.0349379362379566,0.71626344063302,0.479177505560392,0.166873640134352,0.338749446069396,0.196676666666667,0.00109287442419307,0.00382169989598674,0.00267822502840636,0.00155331970762521,0.0023367438937218,0.00146913510489979
15,50,2,0.9,0.7,0.0354314812120319,0.717904416326442,0.664107852128899,0.319588664752844,0.58146528002256,0.388763333333333,0.00112110164924493,0.00408665074730481,0.00249467317040275,0.00224077806406598,0.0027713981298983,0.00229035994723185
16,50,2,0.95,0.7,0.0346263599277908,0.716429344440507,0.740107268626342,0.423496197671413,0.719316263373317,0.537103333333333,0.00121706322538077,0.00417768045766779,0.00233098680685111,0.00261073745432412,0.00253882654280127,0.00253952605302269
17,50,2,0.99,0.7,0.0360828303550854,0.721514841237506,0.855959402874634,0.639107839365363,0.918049624833938,0.834616666666667,0.00125309320618392,0.00455344310096686,0.00174405484244858,0.00273358938314895,0.00183655187657613,0.00233503138739565
18,50,2,1,0.7,0.0323328156665495,0.717777850944634,1,1,1,1,0.00112083494069523,0.00481163367155283,0,0,0,0
19,50,5,0,0.3,0.966592261963423,0.999749387901938,0.0022520356713313,5.16943951493641e-05,0.0449411412356749,0.0347,0.00091594075210235,7.03448441356813e-05,0.000164416090264297,2.28945453103311e-05,0.000707017426599117,0.000355533744445474
20,50,5,0.1,0.3,0.96757440012679,0.999791187219569,0.0089291484241442,0.000240161839944118,0.141366424799992,0.0763933333333333,0.00121050840426346,6.45291554042981e-05,0.000319531364485333,5.15269024142506e-05,0.0013397803628856,0.000645703750440814
21,50,5,0.3,0.3,0.965601358003202,0.999834998914459,0.0296906671234317,0.00111373985779943,0.351615414874163,0.17465,0.00134733939753557,7.06719236423932e-05,0.000581585310946299,0.000116845070741397,0.00215919030196188,0.00114857654723958
22,50,5,0.5,0.3,0.96799835366257,0.999788968547641,0.0673193656833135,0.00303574647899838,0.579850401745592,0.318546666666667,0.00156685485301313,7.18587324052749e-05,0.00111317777316144,0.00018112681554826,0.00266029112059226,0.00164261887289344
23,50,5,0.7,0.3,0.966495098759426,0.999812799514811,0.142421821051847,0.00986287552303043,0.805829722821298,0.549843333333333,0.00178488315970502,8.44163489550962e-05,0.00162971057370445,0.000369513601844312,0.00216372572956533,0.00233027786305403
24,50,5,0.9,0.3,0.969367215943308,0.999709037660393,0.337123559719787,0.0543547980428997,0.976115804564035,0.910306666666667,0.0017478161353277,0.000145520046535464,0.00242049674370998,0.000866553334941398,0.000625747922667309,0.00147965046350054
25,50,5,0.95,0.3,0.969880288119506,0.999876240411058,0.455525214915136,0.106978715262413,0.994843662038316,0.979183333333333,0.00192802668867414,8.66855118848392e-05,0.00248332543271939,0.00142126987885103,0.000292610915929932,0.000568882994586647
26,50,5,0.99,0.3,0.964720581835476,0.999834058018212,0.668355210820347,0.314163082178474,0.999906843019817,0.999563333333333,0.00221536844649299,0.000126778788540786,0.00240427301198511,0.0022271993941112,4.1994827041474e-05,7.81696675769443e-05
27,50,5,1,0.3,0.961924938133488,0.999500931378102,1,1,1,1,0.00207578687280477,0.00027111532962219,0,0,0,0
28,50,5,0,0.7,0.968134004106128,0.999814555652048,0.0113323950139905,0.000334096386968186,0.168092552303414,0.0860166666666667,0.00115036716703457,6.72656011379051e-05,0.000376944213303234,6.33507536928845e-05,0.00153305430859212,0.000660193658879737
29,50,5,0.1,0.7,0.965424963035852,0.999958758503401,0.0196041773245797,0.000535423164892902,0.262127562676158,0.125613333333333,0.00121991547476541,2.90903392835294e-05,0.000458558453736535,7.8934465756772e-05,0.00184484057600617,0.000889712404677719
30,50,5,0.3,0.7,0.965484381657827,0.999855780141844,0.0457476177119942,0.00164741440295458,0.456976560156997,0.2267,0.00157010581071563,6.07279605871409e-05,0.000902786111731203,0.000139258502215127,0.00266882861504946,0.0015000893329066
31,50,5,0.5,0.7,0.967438746334816,0.999649127130963,0.0904709764216892,0.00481013157101636,0.658901159574821,0.378446666666667,0.00138418651548736,0.000182549649908056,0.00110970647408392,0.000243958648790488,0.00271440095027406,0.00201053123474771
32,50,5,0.7,0.7,0.967703627907693,0.999895179804997,0.169604498618992,0.0138168963775613,0.843937540771839,0.607446666666667,0.0016158604429155,4.64549529619913e-05,0.00161776523038324,0.000414773463330469,0.00193414892861486,0.0023061499116172
33,50,5,0.9,0.7,0.9679244528822,0.999771647488783,0.360444578269584,0.0608607614938362,0.980676431353343,0.925673333333333,0.00182497722099247,0.000114553563778181,0.0026514951086735,0.000931765652766589,0.000612017117363306,0.00130872594371647
34,50,5,0.95,0.7,0.967284400455742,0.999646910724512,0.478477663664728,0.123636198055251,0.996331466901098,0.98339,0.00196475136296822,0.000151905244864884,0.00254863309908415,0.00146805916301847,0.000239885688519168,0.000501026918637442
35,50,5,0.99,0.7,0.967294922222709,0.999854909443889,0.684028534393539,0.341170028101017,0.999938120205529,0.99965,0.00188558446249578,0.000110808438903808,0.00245262602982346,0.00230895563057794,3.24692578759468e-05,7.97731988875226e-05
36,50,5,1,0.7,0.96639483754078,0.999897446808511,1,1,1,1,0.00206906114651548,7.4079381435395e-05,0,0,0,0
37,100,2,0,0.3,0.000575997667290759,0.427914264627885,0.0887532874302839,0.0163357584489165,0.017204208542582,0.0148316666666667,6.91028363517135e-05,0.00136163908183513,0.000771692708690776,0.000358309622409385,0.000306730188334362,0.000177990481178867
38,100,2,0.1,0.3,0.000662527401342638,0.424145432103005,0.148669694757389,0.031422249684272,0.0349356169333285,0.023785,0.000105165669901376,0.00145783564855344,0.00101255705392939,0.00047884401326723,0.000436610668567684,0.000221031255132376
39,100,2,0.3,0.3,0.000511714293595553,0.424979015505752,0.240755719940677,0.0593867972842216,0.0711204884881584,0.0416416666666667,8.27002654991225e-05,0.00179233320935983,0.00134873431835647,0.000686991956449979,0.000685712579454208,0.000309679482545337
40,100,2,0.5,0.3,0.000387900211328257,0.427220959467578,0.336741079764827,0.0966694742723291,0.119363588591087,0.0652416666666667,7.68057663986019e-05,0.00204738441709993,0.00179595146352935,0.000819161976867292,0.000938560878341083,0.00043348752249725
41,100,2,0.7,0.3,0.00088623145415349,0.422849728708945,0.459333953854355,0.15677528151873,0.196286719211388,0.10704,0.000129089572739788,0.0019652243839324,0.00180082555043121,0.00110982902594383,0.0013122126384235,0.000700377022181146
42,100,2,0.9,0.3,0.000652636468605169,0.431529310120576,0.658557453329803,0.314187998996972,0.40272544696206,0.23917,0.000106216691725956,0.0026491406434052,0.00194920268316108,0.00170519858044286,0.00183119556140844,0.00116746560344693
43,100,2,0.95,0.3,0.000585091921826989,0.425181168202365,0.746070428384112,0.431553806141201,0.553646354107541,0.362243333333333,0.000104385208354332,0.00276521591623298,0.0018093234069051,0.00174209317733942,0.00199901494263503,0.00158385860986255
44,100,2,0.99,0.3,0.000502396405789727,0.421392935636679,0.868204795138128,0.668227729997756,0.837504321823512,0.696963333333333,0.000135438307925686,0.00247168421886473,0.00143780097914292,0.0021150963831901,0.0017140174177605,0.0020195413153762
45,100,2,1,0.3,0.000549861457866487,0.428009699156548,1,1,1,1,0.000107587141285349,0.00282955476462774,0,0,0,0
46,100,2,0,0.7,0.000601460394617551,0.426699752003353,0.162805302746891,0.0361583395941624,0.0398697357129286,0.0260466666666667,8.77838505510911e-05,0.00162060037111431,0.001172511205658,0.000538555236617131,0.000473842450891746,0.00022369467505812
47,100,2,0.1,0.7,0.000800325407271816,0.425270402111613,0.203963185233687,0.0475559362800399,0.0554200498937762,0.0333966666666667,9.11455628692834e-05,0.00164072458897319,0.00133347168291583,0.000661503963404079,0.000611874596524979,0.000325934553757857
48,100,2,0.3,0.7,0.000601603948788789,0.426633271863378,0.284688892727218,0.0757015540785994,0.0910995238445256,0.0501016666666667,9.06667876430468e-05,0.00193033553216742,0.00144577565386005,0.000781068619642903,0.000791337815094406,0.000404091287069981
49,100,2,0.5,0.7,0.000396995972277242,0.42516847814841,0.372764120472988,0.112003712121405,0.139072640153345,0.0743233333333333,6.85229584483782e-05,0.00212201816989237,0.001774088634924,0.00099186851178733,0.000992268503928799,0.000501410127676174
50,100,2,0.7,0.7,0.000574537155406251,0.427784210683826,0.493288764824329,0.177973530265826,0.224615197001407,0.119613333333333,0.000102154319416293,0.00242536975320767,0.00204435412489495,0.00122289132449933,0.00136184077893085,0.000746113847756167
51,100,2,0.9,0.7,0.000740389084209522,0.425345066586794,0.679328846338216,0.339251337575306,0.435548209023979,0.259965,0.000120906715954804,0.00260140046403625,0.00176055418817997,0.00144856567613047,0.00174231642152764,0.00124016487597335
52,100,2,0.95,0.7,0.000512004636621332,0.427440915932576,0.763663291259337,0.458939235879946,0.588127463849892,0.389958333333333,0.000111424420130151,0.0027592111079853,0.00166935493276187,0.0018813042778406,0.00217500726497972,0.00167579566425008
53,100,2,0.99,0.7,0.000748065635886142,0.423138805817831,0.877068647455148,0.687015137069948,0.852892067833099,0.723713333333333,0.000134707692802515,0.00273917597931318,0.00123625203179362,0.00161750160414498,0.00174829013110871,0.00204795118983223
54,100,2,1,0.7,0.000568835970633397,0.422340797326573,1,1,1,1,0.000123873510623355,0.00275011545674349,0,0,0,0
55,100,5,0,0.3,0.925232586677944,0.999394626649292,0.00253140371611681,2.57776136770498e-05,0.0251550511688816,0.018485,0.000877411385617881,8.20486202857042e-05,0.000116024088745141,1.14126616530081e-05,0.000367663181425151,0.000197029836726778
56,100,5,0.1,0.3,0.923569057549527,0.999532686798862,0.00890277103738213,0.000141034852120511,0.0895915781507697,0.044675,0.00121873064429285,6.96136670263368e-05,0.000233238229241846,2.63439752929566e-05,0.000784417825585407,0.000328120355381767
57,100,5,0.3,0.3,0.924229614963857,0.999395185156669,0.0311848141731903,0.0010399891609295,0.255440814265787,0.110953333333333,0.00171300641120974,9.98199402783061e-05,0.000459574212163755,7.00424824179914e-05,0.0013463522065589,0.000641279778511058
58,100,5,0.5,0.3,0.924424722911905,0.999345181836942,0.0714611722045634,0.00327000781326785,0.471145977847224,0.223895,0.00168985361528623,0.000102660331201913,0.000695603199843244,0.000152621153702826,0.00168697486210766,0.0010707537316678
59,100,5,0.7,0.3,0.925869656088059,0.999562395883601,0.150568309039511,0.0106566191524564,0.722006268392418,0.43082,0.00189901003970396,0.000104001863363268,0.00121040758455538,0.000258183476211115,0.00168980674611868,0.00152868321172473
60,100,5,0.9,0.3,0.92086070019798,0.999529812927826,0.361449920120991,0.0610236717456145,0.956500981852089,0.846158333333333,0.00217077283423066,0.000114031093989784,0.00167389345991708,0.000668418417411639,0.000611536849130319,0.00117770072267242
61,100,5,0.95,0.3,0.919545289738591,0.999217698870406,0.48813646351492,0.128914342236731,0.9898714724831,0.958098333333333,0.00206863090058557,0.000195351141615654,0.0018577036955538,0.0011157094573886,0.000298816276412256,0.000695602352359077
62,100,5,0.99,0.3,0.921818927817645,0.999448007795487,0.707851214402388,0.370756145050758,0.999791440474673,0.999166666666667,0.00197583034697992,0.000133808360816105,0.00164783713701782,0.00159578551629359,3.70656359564353e-05,7.59823071473988e-05
63,100,5,1,0.3,0.923706189422547,0.9993755043846,1,1,1,1,0.00206629195826935,0.000164118331639344,0,0,0,0
