"condition_id","fixed_comp","p_L","ICC","rho","n","p_F","s_F","s_L","s_joint","nnrow_F","nnrow_L","nnrow_joint","mcse_s_F","mcse_s_L","mcse_s_joint","mcse_nnrow_F","mcse_nnrow_L","mcse_nnrow_joint","increment"
70,"5 continuous",5,0.9,0.7,50,5,1,0.980099670726386,0.999968723404255,1,0.92525,0.999913333333333,0,0.000641743347453919,1.79741756692585e-05,0,0.00132723847764801,2.18159398540182e-05,-3.12765957446448e-05
71,"2 continuous + 3 binary",5,0.9,0.7,50,5,1,0.979889144844425,0.999875823744391,1,0.92543,0.9993,0,0.00065554876339071,5.59029443509638e-05,0,0.0013006496465501,9.76267805200337e-05,-0.000124176255608677
72,"5 binary",5,0.9,0.7,50,5,0.52420274401383,0.980425927175758,0.99921390192062,0.524206666666667,0.925373333333333,0.997173333333333,0.00274350052275695,0.000592835269698361,0.000127510246386035,0.00275676272165698,0.00126509326593903,0.000219651009932015,0.0187879747448626
73,"none",2,0.3,0.3,100,0,NA,0.0714585537192045,0.0714585537192045,NA,0.0417083333333333,0.0417083333333333,NA,0.000700370690369263,0.000700370690369263,NA,0.000338039950030854,0.000338039950030854,0
74,"1 continuous",2,0.3,0.3,100,1,1,0.07076205691641,0.287861637968332,1,0.0418266666666667,0.167311666666667,0,0.000661300870891476,0.00137107228376682,0,0.000310831452834922,0.000798760477134726,-0.712138362031668
75,"2 continuous",2,0.3,0.3,100,2,1,0.0723715712219803,0.563010713985676,1,0.0419083333333333,0.36688,0,0.000737775520419258,0.00165613304976529,0,0.000354573984911616,0.0012406727160643,-0.436989286014324
76,"5 continuous",2,0.3,0.3,100,5,1,0.0718446638027361,0.950142762766208,1,0.0420066666666667,0.851766666666667,0,0.000679825097319394,0.000671066185294121,0,0.000325322157042287,0.00116860571094333,-0.0498572372337924
77,"2 continuous + 3 binary",2,0.3,0.3,100,5,1,0.0702505671887061,0.838310791804138,1,0.0419833333333333,0.69569,0,0.000600879484171217,0.00145073040464445,0,0.000331719291634073,0.0016266923241242,-0.161689208195862
78,"5 binary",2,0.3,0.3,100,5,0.319377467039106,0.0720701656083731,0.626445114639772,0.319466666666667,0.04182,0.516298333333333,0.000706370947996958,0.00074182647823783,0.0018600929345258,0.000745037556340177,0.000353674497913824,0.0013710787902723,0.307067647600666
79,"none",5,0.3,0.3,100,0,NA,0.256402992895981,0.256402992895981,NA,0.111303333333333,0.111303333333333,NA,0.00134678060206511,0.00134678060206511,NA,0.000619698914663635,0.000619698914663635,0
80,"1 continuous",5,0.3,0.3,100,1,1,0.25431570646153,0.469135797677976,1,0.111068333333333,0.23385,0,0.00136073346932674,0.00179303153462519,0,0.000606397576395923,0.000966992234206765,-0.530864202322024
81,"2 continuous",5,0.3,0.3,100,2,1,0.255702161272838,0.669107519181504,1,0.111923333333333,0.39278,0,0.00148926934081248,0.00163324229062826,0,0.000584356413196411,0.00122889881390103,-0.330892480818496
