"iter","lambda","coef_l2","auroc_true","auroc_naive","auroc_subject","brier_true","brier_naive","brier_subject","condition_id","arm","p_F","p_L","n","R2","is_main_rule"
4,0.01,0.132549931484642,0.619709404306717,0.545454545454545,0.285714285714286,0.249923420051618,0.245432760873314,0.27128740469555,1,"A_fixed",2,0,50,0.05,FALSE
4,0.001,0.137706247052969,0.619740978948529,0.543831168831169,0.290584415584416,0.249728826571341,0.245439467302495,0.271839164194145,1,"A_fixed",2,0,50,0.05,FALSE
4,0.000396052545923595,0.138057895841383,0.619742261167486,0.543831168831169,0.290584415584416,0.249715689032758,0.245440041931185,0.271878126183931,1,"A_fixed",2,0,50,0.05,TRUE
4,1e-04,0.138239944096192,0.619743062554334,0.543831168831169,0.288961038961039,0.249708885096232,0.245440343856461,0.271896280868356,1,"A_fixed",2,0,50,0.05,FALSE
5,0.2,0.173168520845315,0.582313761035726,0.625,0.482371794871795,0.245426627266172,0.242835688587317,0.263408252581983,1,"A_fixed",2,0,50,0.05,FALSE
5,0.05,0.263854882337494,0.584093599386824,0.625,0.519230769230769,0.244374095493564,0.241290933241254,0.269005533192517,1,"A_fixed",2,0,50,0.05,FALSE
5,0.01,0.308053022887143,0.584920273136978,0.625,0.519230769230769,0.244164856082689,0.240983565434439,0.272264672219385,1,"A_fixed",2,0,50,0.05,FALSE
5,0.001,0.320317372890154,0.58515003816341,0.625,0.520833333333333,0.244139107729145,0.240945850012233,0.273233237521482,1,"A_fixed",2,0,50,0.05,FALSE
5,0.000396052545923595,0.32117890699188,0.585163007478491,0.625,0.520833333333333,0.244137806406635,0.240943950772381,0.273303554246669,1,"A_fixed",2,0,50,0.05,TRUE
5,1e-04,0.321597601541708,0.585162527133488,0.625,0.520833333333333,0.244138398389975,0.240942992291324,0.273339336782207,1,"A_fixed",2,0,50,0.05,FALSE
6,0.2,0.175237921441331,0.487593109970369,0.540584415584416,0.25974025974026,0.253955993863889,0.242378967144206,0.2680568700515,1,"A_fixed",2,0,50,0.05,FALSE
6,0.05,0.254418190100637,0.487281401211802,0.540584415584416,0.305194805194805,0.256377902770305,0.241853008839062,0.2716035098099,1,"A_fixed",2,0,50,0.05,FALSE
